Sample	TotalReads	CellReads	CellRatio	TrimReads	TrimRatio	PolyAReads	PolyARatio	MappedReads	MappedRatio	FilteredReads	FilteredRatio	ClipFilteredReads	ClipFilteredRatio
UMI_100	47209842	32608563	0.6907153597336759	29478501	0.6244143117445723	23314319	0.49384446150021005	22473015	0.47602394009283067	17984524	0.3809486166041394	11493639	0.24345853561636577
UMI_200	47419955	28084696	0.592254800747913	25959503	0.5474383727272621	21036074	0.44361227251270063	20169902	0.42534629145050856	15993658	0.3372769543960976	9139230	0.19272962194924056
4CL	84610428	68262224	0.8067826344053005	67711367	0.8002721248496698	56859164	0.6720113033821316	54485905	0.6439620539444618	45166458	0.5338166827379718	36918876	0.4363395490683489
9CL	84801426	61465620	0.7248182359574944	60759551	0.7164920905929105	48542253	0.5724226028934938	46231110	0.5451690163795123	36456706	0.42990675652081606	27676309	0.3263660802119059
